2024/06/07 20:31:52 config ../../config/config_node.yaml: {Address:localhost Port:5002 RaftId:node_name2 RaftDir:data RaftBootstrap:false Life:100 Players:[node_name1 node_name2 node_name3 node_name4]}
2024/06/07 20:31:52 10.30.19.58
2024-06-07T20:31:52.136-0700 [INFO]  raft: initial configuration: index=0 servers=[]
2024-06-07T20:36:03.310-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:05.365-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:07.422-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:09.448-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:11.498-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:13.532-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:15.585-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:17.609-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:19.657-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:21.665-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:23.707-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:25.742-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:27.800-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:29.826-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:31.871-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:33.905-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:35.951-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:37.980-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:40.037-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:42.069-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:44.111-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:46.135-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:48.186-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:50.209-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:52.268-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:54.291-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:56.345-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:58.365-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:00.420-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:02.431-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:04.487-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:06.514-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:08.571-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:10.595-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:12.650-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:14.681-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:16.737-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:18.763-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:20.820-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:22.846-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:24.906-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:26.928-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:28.979-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:31.005-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:33.062-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:35.087-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:37.136-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:39.180-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:41.196-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:43.216-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:45.265-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:47.290-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:49.338-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:51.375-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:53.422-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:55.441-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:37:57.493-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
